Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1992-01-22 00:00:00-05:00,0.40436730120835357,0.5098543299523113,0.40436730120835357,0.4746919870376587,168022400,0.0,0.0
1992-01-23 00:00:00-05:00,0.492272899909453,0.533295999258495,0.4746920826026078,0.5157144665718079,38368000,0.0,0.0
1992-01-24 00:00:00-05:00,0.5215752124786377,0.5450167789859959,0.5039936799082004,0.5215752124786377,12044800,0.0,0.0
1992-01-27 00:00:00-05:00,0.5450166986012543,0.5625975131988525,0.5215751355513021,0.5625975131988525,10716800,0.0,0.0
1992-01-28 00:00:00-05:00,0.5567374249073528,0.568458205269827,0.5332958641824045,0.5508766770362854,19913600,0.0,0.0
1992-01-29 00:00:00-05:00,0.5332959403908378,0.5508767557570319,0.5098543763160706,0.5098543763160706,13238400,0.0,0.0
1992-01-30 00:00:00-05:00,0.5157143030411158,0.5215750505382087,0.4571104049682617,0.4571104049682617,10848000,0.0,0.0
1992-01-31 00:00:00-05:00,0.4688311771577198,0.4864127039909363,0.4571103977287769,0.4864127039909363,2496000,0.0,0.0
1992-02-03 00:00:00-05:00,0.4922729512540306,0.4922729512540306,0.47469213211348776,0.48055216670036316,2320000,0.0,0.0
1992-02-04 00:00:00-05:00,0.4864128122413032,0.5098543763160706,0.4864128122413032,0.5098543763160706,2499200,0.0,0.0
1992-02-05 00:00:00-05:00,0.5098544429315662,0.5098544429315662,0.49813365936279297,0.49813365936279297,1148800,0.0,0.0
1992-02-06 00:00:00-05:00,0.5098544325961402,0.5157144665718079,0.49813364926496273,0.5157144665718079,5504000,0.0,0.0
1992-02-07 00:00:00-05:00,0.5039935154445488,0.5157142948734919,0.4864127039909363,0.4864127039909363,4560000,0.0,0.0
1992-02-10 00:00:00-05:00,0.486412897891511,0.5039937163534304,0.4571105799484601,0.4629713296890259,14140800,0.0,0.0
1992-02-11 00:00:00-05:00,0.46297122792642165,0.46297122792642165,0.4219481348991394,0.4219481348991394,9868800,0.0,0.0
1992-02-12 00:00:00-05:00,0.4278087913990021,0.4278087913990021,0.4102272652006153,0.4278087913990021,3942400,0.0,0.0
1992-02-13 00:00:00-05:00,0.42780894712488243,0.42780894712488243,0.40436738058050087,0.41608816385269165,3241600,0.0,0.0
1992-02-14 00:00:00-05:00,0.4219481753932871,0.4219481753932871,0.39850661009366,0.40143662691116333,13753600,0.0,0.0
